time,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,divergence,geopotential,mean_sea_level_pressure,relative_humidity,specific_humidity,temperature,total_cloud_cover,total_column_water_vapour,u_component_of_wind,v_component_of_wind,vertical_velocity,wind_speed,total_precipitation
03-28-1960,-1.2794858,2.8872008,292.35934,6.158965e-07,80203.72,101705.74,0.38803408,0.0028339815,247.60512,0.78720844,29.987238,18.411137,0.1631735,-0.052077495,20.000393,8.328565
03-29-1960,-0.2567706,4.9912252,293.91687,-2.5482323e-06,80131.39,101196.18,0.4595224,0.0034191576,248.37376,0.91016775,37.29848,23.287937,6.481878,-0.12269909,25.914509,9.096728
03-30-1960,4.7942133,2.462396,293.8769,-1.9919075e-06,79511.94,100880.625,0.22681181,0.0021956505,248.06578,0.45406464,21.74129,27.147146,4.2477255,0.0022502667,28.55965,3.3896277
03-31-1960,2.3400881,0.051487833,291.65167,-1.7038488e-07,79652.695,101079.58,0.16728714,0.0010256125,247.98415,0.011889068,8.405252,18.949902,-4.772355,0.043008283,19.97192,0.0
04-01-1960,-2.0934944,3.8453708,292.1622,-8.24652e-07,79699.58,100933.08,0.3144799,0.0018496143,248.37225,0.60265464,17.0467,16.963676,5.812612,-0.041944318,19.970642,0.06056356
04-02-1960,-0.743112,1.8942347,292.53662,5.3915674e-06,79694.71,100942.46,0.51681054,0.0034459776,248.17323,0.9690821,37.924355,14.519255,13.618407,-0.2838508,20.920288,48.9278
04-03-1960,-2.0769095,-1.8556889,291.46347,4.2912347e-06,79691.93,100922.03,0.47632116,0.0031314776,248.19354,0.747404,34.774773,11.967605,15.804684,-0.26566637,22.470736,38.18926
04-04-1960,2.0703712,-3.0850496,289.82944,2.5777695e-06,79585.35,101300.69,0.45346612,0.00266231,247.0944,0.76380575,29.660255,14.369328,21.01521,-0.13077828,27.232225,16.734684
04-05-1960,3.8847518,-2.0625532,289.3326,-3.2337377e-07,79324.96,101754.11,0.20736828,0.001129509,246.11774,0.10224151,12.004504,20.11311,-0.006629357,0.14396848,23.500765,0.64134204
04-06-1960,3.4656737,1.2362471,290.3412,-2.3038347e-06,79880.38,102014.1,0.17638944,0.0012019526,246.77742,0.0,13.436367,16.672031,-4.5506134,0.06663135,18.9792,0.0
04-07-1960,5.13255,3.5485275,293.00073,8.426456e-07,80069.305,101696.87,0.18551557,0.0014844302,247.77838,0.0016597018,14.709563,13.375794,1.7689387,0.025919992,14.173801,0.0
04-08-1960,2.5953045,2.2145686,292.1531,1.4478029e-07,79950.13,101722.67,0.2654633,0.0015532292,247.2132,0.20148169,15.199657,12.618908,2.5785,0.039521243,13.610194,0.052658387
04-09-1960,1.0307301,0.9361216,291.81644,-6.632873e-07,79794.42,101723.516,0.3436309,0.0019542137,246.81744,0.28672943,19.51583,15.7869625,0.949184,-0.010526817,16.364557,0.08339211
04-10-1960,-3.0641162,-3.208062,289.36707,-3.5064718e-06,79947.68,102278.695,0.2683528,0.001507153,246.12265,0.035593834,16.836842,12.648098,-6.4185133,0.049745943,16.60568,0.26400948
04-11-1960,-3.5211124,1.1461161,289.00757,-7.789443e-07,80196.28,102545.28,0.20856765,0.0010373348,246.04747,0.0015224422,10.259437,6.1995106,-5.3408566,0.0655048,11.260268,4.4703487e-05
04-12-1960,-2.8592112,3.1710427,290.4222,-5.0969254e-07,80372.99,102412.12,0.21441871,0.0013308463,246.82094,0.3218203,12.908289,4.588689,2.37871,0.027351705,7.957551,0.0076518008
04-13-1960,-3.8486447,3.3982346,292.30878,2.7586623e-07,80532.55,102219.164,0.29766348,0.0016359126,247.55197,0.7824127,15.375807,6.51816,3.650911,-0.0028285545,11.856794,0.004698974
04-14-1960,-4.2669344,2.4247084,292.71042,3.87068e-07,80632.7,102241.56,0.35011226,0.0022096282,247.65009,0.60359466,21.602243,9.062927,6.076577,-0.0028506306,14.271745,0.39198685
04-15-1960,-2.4580507,2.5708983,293.13693,6.2263877e-07,80515.76,102066.56,0.35882923,0.0024060947,247.87454,0.44431153,24.2501,10.594352,3.9006143,0.02766353,13.722004,0.15915398
04-16-1960,-1.772147,3.1457293,293.51416,-1.4221735e-06,80551.6,101749.39,0.2957055,0.0024013924,248.40985,0.1621956,25.676903,6.754279,-0.89759314,0.042981915,9.375735,0.09935603
04-17-1960,-1.4126542,3.2047577,294.0991,-2.1872531e-06,80473.56,101596.836,0.30823407,0.0025009713,248.5643,0.45688117,25.68315,7.0100536,4.325951,-0.009966301,9.88913,0.2679048
04-18-1960,-1.726641,-2.2727628,292.88037,-1.2353289e-06,80336.03,101933.62,0.45844808,0.00291217,247.39339,0.7824795,31.293743,10.650374,2.222054,-0.032590427,12.99909,1.422568
04-19-1960,-2.5139878,-1.6771828,292.1074,1.3895273e-06,80440.89,102189.22,0.2727658,0.0020731562,247.2838,0.2782614,23.07511,6.79446,-1.2380619,0.020968724,10.332857,0.00013333149
04-20-1960,-1.9475353,1.5707982,293.48303,-1.7238376e-06,80398.67,101936.29,0.2662091,0.0021437006,247.97247,0.11789626,23.340466,4.4337926,-0.95869064,0.045337006,9.358008,0.008289837
04-21-1960,-1.169345,2.492365,294.61658,-6.683662e-07,80215.125,101677.64,0.3308636,0.0026911364,247.84323,0.5416178,28.297026,9.562223,-0.42785323,0.044995174,12.590708,0.42385685
04-22-1960,-1.271918,1.7158608,294.74194,-1.5816672e-08,80391.13,101681.7,0.25748163,0.0024012183,248.34422,0.32645613,23.506817,3.8918293,-3.7883885,0.04928164,8.973383,0.04388462
04-23-1960,-3.0770307,1.7122554,294.71936,-2.55212e-07,80686.45,101853.15,0.29797113,0.002283484,248.66263,0.72482383,22.69452,2.5989413,-3.0993395,0.037638642,8.986582,0.079093896
04-24-1960,-2.0367188,1.613612,294.6112,-1.2549643e-07,80518.28,101658.26,0.32308954,0.002320118,248.80893,0.5847759,23.257902,3.5622249,0.43635127,0.010770617,8.337498,0.050540607
04-25-1960,-1.8053865,2.0919704,294.41058,-8.601434e-07,80164.03,101220.15,0.3636439,0.002491588,248.9365,0.8971772,25.100773,4.026913,3.7198489,-0.0035493295,8.231043,0.10872466
04-26-1960,-0.43300366,1.5454825,294.15143,9.06176e-07,79957.08,101051.14,0.38066638,0.0028355052,248.91023,0.477162,29.340536,6.563149,4.456036,-0.012347191,9.265937,0.2483902
04-27-1960,0.7222276,-1.8422235,293.8926,-1.4330874e-06,79883.93,101075.04,0.40303823,0.002749713,248.73097,0.6675857,28.819105,15.304886,0.12472202,0.045437105,16.369545,1.107322
04-28-1960,0.5121802,-0.78621274,294.958,-1.1621293e-06,80083.36,101235.48,0.2699409,0.0021530618,248.80203,0.05652369,22.159695,17.20813,-2.224492,0.08636035,18.570148,0.00037487948
04-29-1960,-2.4084587,3.7812247,295.72162,-2.8403788e-06,80333.58,101234.33,0.3289904,0.002181884,249.3517,0.6699983,21.144,13.831313,1.4724984,-0.011504517,17.194798,9.313228e-06
04-30-1960,-2.287847,3.4653893,295.41727,-2.3821485e-07,80438.11,101144.6,0.44079903,0.0032875112,249.50073,0.8428061,35.521606,13.798117,6.8533053,-0.0076274658,18.178093,15.941227
05-01-1960,-1.1722288,-2.7122178,294.13782,-7.4614206e-07,80469.77,101532.77,0.44951552,0.0032620886,248.99632,0.9300939,36.296288,14.567793,3.3361318,-0.037040446,18.023909,4.8960776
05-02-1960,-2.1813478,-4.01288,290.86987,7.549974e-07,80145.93,101601.76,0.42536214,0.0026123135,247.78778,0.6125704,31.304316,20.750328,0.9616375,-0.039800797,23.825336,14.078983
05-03-1960,-3.388544,-1.0286174,291.4944,-9.073179e-07,80187.03,101506.234,0.4169238,0.0026140015,248.18945,0.8315587,29.49879,25.134865,1.6885772,-0.022301968,27.004385,2.9412792
05-04-1960,-3.1877308,2.5236816,295.1123,7.0904576e-07,80431.08,101422.52,0.43373454,0.0033548586,249.03981,0.84699225,37.334255,20.194689,5.5221357,-0.042500947,23.485064,1.3138273
05-05-1960,-4.287618,4.5520506,295.40234,3.6670872e-06,80533.84,101268.414,0.4817827,0.0038270066,249.3996,0.9066652,43.161148,16.053432,5.4862924,-0.40999666,20.671694,45.521107
